ID da Compra,ID do Cliente,ID do Produto,Data da Compra,Valor da Compra
1,Cliente-403,Produto-3,2023-10-7,16.93
2,Cliente-483,Produto-51,2023-11-6,156.77
3,Cliente-470,Produto-2,2023-7-14,394.78
4,Cliente-434,Produto-12,2023-4-25,56.63
5,Cliente-344,Produto-71,2023-5-8,235.67
6,Cliente-10,Produto-83,2023-10-12,152.2
7,Cliente-152,Produto-67,2023-10-9,124.1
8,Cliente-120,Produto-36,2023-5-5,265.16
9,Cliente-191,Produto-67,2023-6-14,240.83
10,Cliente-232,Produto-7,2023-6-24,356.41
11,Cliente-50,Produto-90,2023-7-11,142.03
12,Cliente-249,Produto-6,2023-1-17,377.99
13,Cliente-171,Produto-78,2023-1-4,294.79
14,Cliente-172,Produto-15,2023-1-10,405.15
15,Cliente-440,Produto-65,2023-11-10,219.07
16,Cliente-293,Produto-57,2023-10-18,23.98
17,Cliente-33,Produto-62,2023-11-9,73.63
18,Cliente-125,Produto-11,2023-6-21,468.2
19,Cliente-283,Produto-93,2023-6-11,392.44
20,Cliente-413,Produto-93,2023-9-6,66.79
21,Cliente-217,Produto-5,2023-5-9,405.2
22,Cliente-328,Produto-17,2023-4-15,85.12
23,Cliente-440,Produto-12,2023-6-22,162.46
24,Cliente-191,Produto-43,2023-6-19,383.86
25,Cliente-74,Produto-43,2023-11-18,28.6
26,Cliente-338,Produto-88,2023-12-28,412.45
27,Cliente-96,Produto-33,2023-8-8,47.46
28,Cliente-217,Produto-96,2023-1-2,135.48
29,Cliente-315,Produto-34,2023-11-24,146.31
30,Cliente-186,Produto-2,2023-11-6,373.64
31,Cliente-348,Produto-12,2023-6-10,27.38
32,Cliente-211,Produto-87,2023-3-24,261.35
33,Cliente-310,Produto-50,2023-11-11,232.02
34,Cliente-352,Produto-10,2023-9-14,125.67
35,Cliente-294,Produto-63,2023-9-15,387.01
36,Cliente-348,Produto-35,2023-6-1,251.29
37,Cliente-183,Produto-70,2023-6-4,80.56
38,Cliente-111,Produto-53,2023-5-22,280.71
39,Cliente-183,Produto-46,2023-3-12,200.53
40,Cliente-449,Produto-5,2023-10-6,245.76
41,Cliente-404,Produto-47,2023-5-10,107.34
42,Cliente-203,Produto-45,2023-1-7,48.7
43,Cliente-26,Produto-17,2023-10-10,224.32
44,Cliente-49,Produto-12,2023-7-12,263.59
45,Cliente-367,Produto-23,2023-8-17,93.83
46,Cliente-5,Produto-26,2023-4-27,88.27
47,Cliente-51,Produto-53,2023-10-18,115.89
48,Cliente-301,Produto-69,2023-3-20,483.58
49,Cliente-264,Produto-3,2023-1-22,157.67
50,Cliente-249,Produto-47,2023-5-15,188.38
51,Cliente-440,Produto-95,2023-6-7,10.94
52,Cliente-32,Produto-81,2023-2-1,229.83
53,Cliente-302,Produto-41,2023-9-22,47.24
54,Cliente-85,Produto-5,2023-4-7,365.05
55,Cliente-246,Produto-21,2023-12-16,29.94
56,Cliente-170,Produto-21,2023-8-12,114.79
57,Cliente-135,Produto-12,2023-9-25,488.85
58,Cliente-455,Produto-56,2023-10-8,453.64
59,Cliente-466,Produto-30,2023-11-3,431.83
60,Cliente-115,Produto-5,2023-5-20,109.42
61,Cliente-368,Produto-96,2023-7-12,113.78
